gx,gy,gz,acx,acy,acz
-0.37,3.66,1.53,0.9,0.15,0.4
0.49,-3.23,-2.2,0.87,0.15,0.41
-0.12,-2.2,-1.53,0.86,0.15,0.43
-1.1,-4.76,-3.91,0.87,0.13,0.43
-1.04,-2.75,-2.5,0.86,0.13,0.42
-1.16,-4.64,-3.42,0.86,0.13,0.43
-0.55,0,-1.04,0.86,0.13,0.43
-0.31,-0.43,-1.95,0.87,0.13,0.43
-0.37,-0.67,-1.1,0.89,0.13,0.44
0,-2.99,-1.95,0.86,0.12,0.46
-0.85,-0.24,-1.89,0.84,0.12,0.44
-0.18,0.85,-1.28,0.87,0.12,0.45
0.49,-2.38,-3.23,0.86,0.12,0.45
0.06,2.32,0.85,0.88,0.13,0.44
0.85,-0.79,-1.83,0.86,0.12,0.44
-0.31,-4.58,-3.72,0.86,0.11,0.45
-0.92,-2.08,-0.43,0.84,0.12,0.45
-1.46,0.61,-2.44,0.86,0.12,0.45
-0.61,-0.43,-1.89,0.87,0.13,0.44
0.85,-1.77,-2.32,0.88,0.13,0.45
2.81,-4.09,-2.32,0.86,0.12,0.45
2.32,-1.4,-1.16,0.86,0.11,0.47
0.73,0.98,-0.24,0.85,0.11,0.48
-0.92,0.55,0,0.87,0.11,0.47
-0.67,-0.92,-3.11,0.85,0.11,0.46
-0.31,-1.59,-1.89,0.86,0.1,0.46
0.12,-0.37,-3.11,0.87,0.11,0.47
-0.06,-2.69,-2.26,0.86,0.1,0.47
-0.24,-0.85,0.31,0.85,0.1,0.48
0,-2.5,-3.66,0.83,0.1,0.47
0.85,-2.44,-3.3,0.85,0.1,0.46
1.4,0.31,-1.22,0.86,0.09,0.48
0.43,-0.43,-2.26,0.86,0.09,0.47
-0.06,-1.4,-1.95,0.84,0.09,0.48
-0.73,-1.4,-1.83,0.87,0.08,0.47
-0.18,-2.99,-0.67,0.84,0.09,0.47
0.55,-0.31,-0.12,0.84,0.08,0.48
-0.31,-0.85,-3.48,0.84,0.09,0.48
3.11,-9.52,-5.92,0.84,0.06,0.5
-0.55,0.06,2.38,0.85,0.07,0.5
3.05,-1.59,-1.53,0.83,0.07,0.5
0.85,-2.26,-3.36,0.84,0.06,0.52
-0.18,-3.54,-3.66,0.83,0.07,0.5
-0.43,-0.18,-0.31,0.84,0.07,0.51
-0.67,-1.71,0.73,0.82,0.07,0.5
1.04,-2.38,-4.82,0.83,0.07,0.51
-0.61,-0.61,-1.1,0.84,0.07,0.51
0.85,0.85,-1.1,0.84,0.08,0.52
-0.79,-3.66,-3.48,0.83,0.07,0.51
-0.61,-0.37,0.43,0.83,0.07,0.52
-0.37,-1.28,-3.6,0.81,0.07,0.5
0.24,0.49,-2.44,0.84,0.09,0.51
0.98,-1.71,-1.53,0.84,0.07,0.51
2.5,-0.18,0.49,0.84,0.06,0.51
1.34,-0.18,0.12,0.82,0.06,0.52
-0.06,-1.28,-2.99,0.82,0.06,0.51
-0.12,-4.46,-4.15,0.84,0.07,0.51
2.26,-0.37,-1.59,0.81,0.06,0.52
2.38,0.37,0.37,0.84,0.06,0.52
3.97,-0.31,-0.73,0.84,0.06,0.51
2.26,-1.71,-1.46,0.83,0.06,0.52
3.66,-4.46,-0.67,0.81,0.06,0.51
4.03,0.67,1.59,0.82,0.06,0.52
4.52,0,-0.49,0.84,0.04,0.54
4.03,-1.65,0.55,0.82,0.03,0.54
4.27,-5.13,-3.91,0.84,0.01,0.58
0.92,-0.85,2.5,0.77,0.06,0.56
2.14,-0.18,-1.34,0.77,0.04,0.58
-0.79,1.77,-3.6,0.81,0.03,0.56
0.43,-1.59,-2.56,0.81,0.04,0.55
-0.37,-1.04,-0.31,0.78,0.03,0.55
0.92,0.12,-2.01,0.8,0.03,0.55
1.22,1.16,-0.92,0.83,0.03,0.56
0.98,-1.95,-3.11,0.79,0.02,0.55
0.92,-2.5,-2.81,0.79,0.01,0.56
0.24,1.34,-1.22,0.81,0.01,0.56
-0.98,0.98,-0.98,0.81,0.02,0.55
0.92,-1.71,-3.54,0.81,0.02,0.55
0.98,-1.83,-2.5,0.82,0.02,0.56
-0.31,-0.98,1.59,0.8,0.02,0.56
-1.1,2.26,2.38,0.81,0.03,0.56
0.67,1.34,0.92,0.8,0.02,0.56
0.12,-0.61,-1.1,0.81,0.03,0.56
0,-2.26,-1.1,0.81,0.02,0.57
1.95,-1.95,-0.85,0.8,0.04,0.55
-0.55,0.92,-0.31,0.81,0.02,0.57
0.24,0.67,0.49,0.79,0.04,0.56
0.31,1.22,-0.49,0.81,0.04,0.56
1.46,-1.59,-3.05,0.79,0.03,0.56
-0.24,-0.67,-0.24,0.82,0.03,0.56
0.24,0.24,0.24,0.79,0.03,0.55
1.71,-3.54,-4.15,0.79,0.01,0.58
0.98,-2.81,-2.87,0.8,0.02,0.57
0.85,-0.06,-1.77,0.8,0.02,0.56
0.24,0.79,-1.77,0.81,0.02,0.56
-0.67,-1.59,-1.4,0.8,0.02,0.57
-0.49,-0.55,-0.49,0.8,0.02,0.56
-0.43,-0.73,-2.38,0.78,0.03,0.56
-0.67,1.4,-1.46,0.8,0.02,0.56
1.34,-2.38,-1.77,0.79,0.03,0.56
-0.37,-0.61,-1.71,0.8,0.03,0.57
1.34,-0.31,-0.18,0.79,0.03,0.57
1.83,-1.77,-2.69,0.78,0.02,0.56
0.18,0.49,-0.79,0.8,0.03,0.57
-0.43,-0.49,-1.16,0.81,0.01,0.57
-1.28,1.71,2.44,0.8,0.02,0.57
-2.44,1.65,-2.08,0.81,0.05,0.54
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
